permission,req_extra_service,what_service,protection_level,req_extra_permission,extra_permission,deprecated
ACCEPT_HANDOVER,0,,dangerous,0,,0
ACCESS_BACKGROUND_LOCATION,0,,dangerous,1,"ACCESS_COARSE_LOCATION, ACCESS_FINE_LOCATION",0
ACCESS_BLOBS_ACROSS_USERS,0,,normal,0,,0
ACCESS_CHECKIN_PROPERTIES,0,,normal,0,,0
ACCESS_COARSE_LOCATION,0,,dangerous,0,,0
ACCESS_FINE_LOCATION,0,,dangerous,0,,0
ACCESS_LOCATION_EXTRA_COMMANDS,0,,normal,0,,0
ACCESS_MEDIA_LOCATION,0,,dangerous,0,,0
ACCESS_NETWORK_STATE,0,,normal,0,,0
ACCESS_NOTIFICATION_POLICY,0,,normal,0,,0
ACCESS_WIFI_STATE,0,,normal,0,,0
ACCOUNT_MANAGER,0,,normal,0,,0
ACTIVITY_RECOGNITION,0,,dangerous,0,,0
ADD_VOICEMAIL,0,,dangerous,0,,0
ANSWER_PHONE_CALLS,0,,dangerous,0,,0
BATTERY_STATS,0,,signatureOrSystem,0,,0
BIND_ACCESSIBILITY_SERVICE,1,AccessibilityService,signature,0,,0
BIND_APPWIDGET,0,,normal,0,,0
BIND_AUTOFILL_SERVICE,1,AutofillService,signature,0,,0
BIND_CALL_REDIRECTION_SERVICE,1,CallRedirectionService,signatureOrSystem,0,,0
BIND_CARRIER_MESSAGING_CLIENT_SERVICE,1,CarrierMessagingClientService,signature,0,,0
BIND_CARRIER_MESSAGING_SERVICE,0,,normal,0,,1
BIND_CARRIER_SERVICES,0,,signatureOrSystem,0,,0
BIND_CHOOSER_TARGET_SERVICE,1,ChooserTargetService,signature,0,,1
BIND_COMPANION_DEVICE_SERVICE,1,CompanionDeviceServices,normal,0,,0
BIND_CONDITION_PROVIDER_SERVICE,1,ConditionProviderService,signature,0,,0
BIND_CONTROLS,1,ControlsProviderService,normal,0,,0
BIND_DEVICE_ADMIN,1,Device administration receiver,signature,0,,0
BIND_DREAM_SERVICE,1,DreamService,signature,0,,0
BIND_INCALL_SERVICE,1,InCallService,signatureOrSystem,0,,0
BIND_INPUT_METHOD,1,InputMethodService,signature,0,,0
BIND_MIDI_DEVICE_SERVICE,1,MidiDeviceService,signature,0,,0
BIND_NFC_SERVICE,1,HostApduService|OffHostApduService,signature,0,,0
BIND_NOTIFICATION_LISTENER_SERVICE,1,NotificationListenerService,signature,0,,0
BIND_PRINT_SERVICE,1,PrintService,signature,0,,0
BIND_QUICK_ACCESS_WALLET_SERVICE,1,QuickAccessWalletService,signature,0,,0
BIND_QUICK_SETTINGS_TILE,0,,normal,0,,0
BIND_REMOTEVIEWS,1,RemoteViewsService,signatureOrSystem,0,,0
BIND_SCREENING_SERVICE,1,CallScreeningService,signatureOrSystem,0,,0
BIND_TELECOM_CONNECTION_SERVICE,1,ConnectionService,signatureOrSystem,0,,0
BIND_TEXT_SERVICE,1,TextService,signature,0,,0
BIND_TV_INPUT,1,TvInputService,signatureOrSystem,0,,0
BIND_VISUAL_VOICEMAIL_SERVICE,1,VisualVoicemailService,signatureOrSystem,0,,0
BIND_VOICE_INTERACTION,1,VoiceInteractionService,signature,0,,0
BIND_VPN_SERVICE,1,VPNService,signature,0,,0
BIND_VR_LISTENER_SERVICE,1,VrListenerService,signature,0,,0
BIND_WALLPAPER,1,WallpaperService,signatureOrSystem,0,,0
BLUETOOTH,0,,normal,0,,0
BLUETOOTH_ADMIN,0,,normal,0,,0
BLUETOOTH_ADVERTISE,0,,dangerous,0,,0
BLUETOOTH_CONNECT,0,,dangerous,0,,0
BLUETOOTH_PRIVILEGED,0,,normal,0,,0
BLUETOOTH_SCAN,0,,dangerous,0,,0
BODY_SENSORS,0,,dangerous,0,,0
BROADCAST_PACKAGE_REMOVED,0,,normal,0,,0
BROADCAST_SMS,0,,normal,0,,0
BROADCAST_STICKY,0,,normal,0,,0
BROADCAST_WAP_PUSH,0,,normal,0,,0
CALL_COMPANION_APP,0,,normal,0,,0
CALL_PHONE,0,,dangerous,0,,0
CALL_PRIVILEGED,0,,normal,0,,0
CAMERA,0,,dangerous,0,,0
CAPTURE_AUDIO_OUTPUT,0,,normal,0,,0
CAPTURE_MEDIA_OUTPUT,0,,normal,0,,0
CHANGE_COMPONENT_ENABLED_STATE,0,,normal,0,,0
CHANGE_CONFIGURATION,0,,signatureOrSystem,0,,0
CHANGE_NETWORK_STATE,0,,normal,0,,0
CHANGE_WIFI_MULTICAST_STATE,0,,normal,0,,0
CHANGE_WIFI_STATE,0,,normal,0,,0
CLEAR_APP_CACHE,0,,signatureOrSystem,0,,0
